name,overall_score,intelligence_score,strength_score,speed_score,durability_score,power_score,combat_score,superpowers,alter_egos,aliases,place_of_birth,first_appearance,creator,alignment,occupation,base,teams,gender,type_race,height(cm),weight(lb),eye_color,hair_color,skin_color,has_electrokinesis,has_energy_constructs,has_mind_control_resistance,has_matter_manipulation,has_telepathy_resistance,has_mind_control,has_enhanced_hearing,has_dimensional_travel,has_element_control,has_size_changing,has_fire_resistance,has_fire_control,has_dexterity,has_reality_warping,has_illusions,has_energy_beams,has_peak_human_condition,has_shapeshifting,has_heat_resistance,has_jump,has_self-sustenance,has_energy_absorption,has_cold_resistance,has_magic,has_telekinesis,has_toxin_and_disease_resistance,has_telepathy,has_regeneration,has_immortality,has_teleportation,has_force_fields,has_energy_manipulation,has_endurance,has_longevity,has_weapon-based_powers,has_energy_blasts,has_enhanced_senses,has_invulnerability,has_stealth,has_marksmanship,has_flight,has_accelerated_healing,has_weapons_master,has_intelligence,has_reflexes,has_super_speed,has_durability,has_stamina,has_agility,has_super_strength
Abra Kadabra,29,100,10,25,70,100,80,"['Animation', 'Astral Projection', 'Dimensional Travel', 'Hypnokinesis', 'Illusions', 'Immortality', 'Intelligence', 'Longevity', 'Magic', 'Marksmanship', 'Matter Manipulation', 'Possession', 'Precognition', 'Probability Manipulation', 'Stamina', 'Stealth', 'Time Manipulation', 'Time Travel']",[],"['Citizen Abra, Kadabra, Master of Magic, Mr. Hocus Pocus, Dr. Petrou']",Unknown,The Flash #128 - The Case of the Real-Gone Flash,DC Comics,Bad,"Magician, Sorcerer","Central City, Keystone City","['Teen Titans', 'Extreme Justice', 'Rogues', 'Minutemen', 'Watchmen']",Male,Human,198.0,195.0,Blue,Black,Unknown,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False
Abraxas,100,100,100,100,100,100,100,"['Dimensional Awareness', 'Dimensional Travel', 'Durability', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Flight', 'Immortality', 'Intelligence', 'Invulnerability', 'Magic', 'Matter Absorption', 'Molecular Manipulation', 'Omnipotent', 'Power Cosmic', 'Reality Warping', 'Self-Sustenance', 'Size Changing', 'Stamina', 'Super Speed', 'Super Strength', 'Teleportation']",[],[''],Within Eternity ,Fantastic Four Annual #2001,Marvel Comics,Bad,Dimensional destroyer,Unknown,"['Cosmic Beings', 'Thor Corps', 'Gods of Esgard', 'Asgardians', 'Dark Avengers']",Male,Cosmic Entity,183.14,209.93,Blue,Black,Unknown,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True
Absorbing Man (MCU),8,75,15,30,40,100,85,"['Agility', 'Camouflage', 'Cold Resistance', 'Durability', 'Elemental Transmogrification', 'Energy Absorption', 'Fire Resistance', 'Heat Resistance', 'Intangibility', 'Invulnerability', 'Matter Absorption', 'Natural Armor', 'Stamina', 'Super Strength']","['Absorbing Man', 'Red Dog']","['The Crusher, Absorbing Man']",Unknown,Agents of S.H.I.E.L.D. Season 2: Episode 1,Marvel Comics,Good,"Government Agent, Bodyguard",Unknown,[],Male,Human,193.0,209.93,Brown,No Hair,Unknown,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True
Absorbing Man,13,70,80,25,100,100,65,"['Absorption', 'Cold Resistance', 'Density Control', 'Durability', 'Elasticity', 'Elemental Transmogrification', 'Energy Absorption', 'Fire Resistance', 'Heat Resistance', 'Immortality', 'Intangibility', 'Invulnerability', 'Matter Absorption', 'Molecular Manipulation', 'Natural Armor', 'Natural Weapons', 'Regeneration', 'Shapeshifting', 'Size Changing', 'Super Strength']","['Absorbing Man (MCU)', 'Red Dog']","['Greithoth, ""Crusher"" Creel, Rocky Davis, Dynamite Davis, Lightningbolt, Prisoner #24957']","New York City, New York",Journey Into Mystery (1952) Issue #114,Marvel Comics,Bad,Professional criminal; former professional boxer,Unknown,"['Marvel Knights', 'Masters of Evil', 'National Force', 'Secret Empire', 'Giants']",Male,Human,193.0,270.0,Blue,No Hair,Unknown,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
Ace Morgan,7,85,20,65,55,80,90,"['Agility', 'Banish', 'Energy Blasts', 'Enhanced Sight', 'Intelligence', 'Intuitive aptitude', 'Magic', 'Marksmanship', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Summoning', 'Weapon-based Powers', 'Weapons Master']",[],[''],Unknown,Unknown,DC Comics,Unknown,Unknown,Unknown,['Challengers of the Unknown'],Unknown,Unknown,183.14,209.93,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,True,True,False,False,True,True,False
Achilles Warkiller,19,90,100,75,100,100,100,"['Accelerated Healing', 'Agility', 'Durability', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Senses', 'Enhanced Sight', 'Enhanced Smell', 'Fire Resistance', 'Flight', 'Intelligence', 'Invulnerability', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Radar Sense', 'Reflexes', 'Regeneration', 'Spatial Awareness', 'Stamina', 'Super Speed', 'Super Strength', 'Weapon-based Powers', 'Weapons Master']",[],"['The Olympian, Achilles, King of the Olympians, Warkiller, Wonder Man']",Thalarion,Wonder Woman Vol 3 #30,DC Comics,Good,"Adventurer, Warrior, King","Thalarion, Themyscira",[],Male,God / Eternal,185.0,195.0,Blue,Blond,Unknown,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True
Acidicus,10,75,65,60,50,100,70,"['Accelerated Healing', 'Adaptation', 'Agility', 'Animal Attributes', 'Animal Control', 'Animal Oriented Powers', 'Camouflage', 'Cold Resistance', 'Dexterity', 'Durability', 'Element Control', 'Endurance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Senses', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Fear Manipulation', 'Fire Resistance', 'Heat Resistance', 'Illusions', 'Intelligence', 'Invulnerability', 'Jump', 'Longevity', 'Marksmanship', 'Mind Control', 'Natural Armor', 'Natural Weapons', 'Peak Human Condition', 'Reflexes', 'Regeneration', 'Self-Sustenance', 'Stamina', 'Stealth', 'Summoning', 'Super Speed', 'Super Strength', 'Toxin and Disease Control', 'Toxin and Disease Resistance', 'Underwater breathing', 'Vision - Infrared', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Weapon-based Powers', 'Weapons Master']",[],[''],Ninjago,Can of Worms,Unknown,Neutral,Leader Of The Venomari Tribe,Ninjago,[],Male,Animal,183.14,220.0,Green,No Hair,Green,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,True,False,False,True,False,True,False,False,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True
A'dal,7,85,30,70,55,65,100,"['Element Control', 'Heat Generation', 'Light Control', 'Matter Manipulation']",[],[''],"Terrace of Light, Shattrath City",Unknown,Blizzard Entertainment,Unknown,Unknown,Unknown,[],Unknown,Unknown,183.14,209.93,Unknown,Unknown,Unknown,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Adam Monroe,8,80,10,10,100,100,65,"['Accelerated Healing', 'Immortality', 'Regeneration']",[],"['Takezo Kensei, Richard Sanders']",Unknown,Heroes S02E01 - Four Months Later...,NBC - Heroes,Good,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army","U.S.; formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, GA; Montreal, Canada",[],Male,Unknown,183.14,209.93,Blue,Blond,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Adam Strange,7,90,10,35,40,55,70,"['Agility', 'Durability', 'Enhanced Sight', 'Fire Resistance', 'Flight', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Power Suit', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Vision - Telescopic', 'Weapons Master']",[],"['Warrior of Two Worlds, Savior of Rann']","Chicago, Illinois","Outsiders #6 (April, 1986)",DC Comics,Good,"Adventurer, archaelogist, ambassador","Rann, Alpha Centauri System",['Omega Men'],Male,Human,183.0,175.0,Blue,Blond,Unknown,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,False
Agent 13 (MCU),9,95,20,70,50,45,100,"['Intelligence', 'Peak Human Condition', 'Weapon-based Powers', 'Weapons Master']","['Agent 13', 'Sharon Carter']",['Agent 13'],America,Agents of S.H.I.E.L.D,Marvel Comics,Good,S.H.I.E.L.D agent,Helicarrier,[],Female,Human,168.0,198.0,Black,Blond,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
Agent 13,9,90,55,70,70,65,90,"['Agility', 'Camouflage', 'Endurance', 'Intelligence', 'Marksmanship', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Stealth', 'Weapon-based Powers', 'Weapons Master']","['Agent 13 (MCU)', 'Sharon Carter']",[''],Unknown,Tales of Suspense #75,Marvel Comics,Good,Agent of SHIELD,"S.H.I.E.L.D. Headquarters, New York City","['Marvel Knights', 'Fantastic Four', 'S.H.I.E.L.D.', 'SHIELD', 'Avengers']",Female,Unknown,173.0,135.0,Blue,Blond,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,False
Agent Bob,2,60,10,15,5,5,20,['Stealth'],[],"['Bob, agent of Hydra, Bob, agent of A.I.M']",Unknown,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,Good,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier","['Agency X', 'A.I.M.', 'HYDRA']",Male,Human,178.0,181.0,Brown,Brown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Agent Carter,8,95,10,15,20,25,75,"['Agility', 'Hacking', 'Weapons Master']",[],['Agent 13'],"Richmond, Virginia, USA","Tales of Suspense #75 (March, 1966)",Marvel Comics,Good,Shield agent,Helicarrier,[],Male,Human,0.0,101.0,Blue,Blond,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
Agent Coulson (Destroyer Gun),10,100,10,10,10,60,50,"['Energy Beams', 'Fire Control', 'Hacking', 'Intelligence', 'Weapon-based Powers', 'Weapons Master']",[],['Agent coulson'],America,Avengers,Marvel Comics,Good,Agent of SHIELD,Helicarrier,[],Male,Human,168.0,97.0,Black,Brown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
Agent Coulson (MCU),8,95,10,25,30,40,75,"['Agility', 'Dexterity', 'Endurance', 'Intelligence', 'Reflexes', 'Stealth', 'Super Speed', 'Weapon-based Powers', 'Weapons Master']",[],['Phil Coulson'],America,Agent of S.H.I.E.L.D,Marvel Comics,Good,S.H.I.E.L.D agent,S.H.I.E.L.D helicarrier,[],Male,Human,173.0,220.0,Black,Black,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,True,True,False,False,True,False
Agent May (MCU),7,95,10,25,25,30,60,"['Agility', 'Intelligence', 'Stealth', 'Weapon-based Powers', 'Weapons Master']",['Melinda May (MCU)'],['Mellie'],Unknown,Agents of S.H.I.E.L.D,Marvel Comics,Good,S.H.I.E.L.D agent,S.H.I.E.L.D helicarrier,[],Female,Human,157.0,154.0,Black,Black,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
Agent Zero (FOX),6,90,10,25,25,35,80,"['Absorption', 'Agility', 'Energy Absorption', 'Marksmanship', 'Reflexes']",[],"['Maverick', 'Zero']",Unknown,Unknown,Marvel Comics,Unknown,Unknown,Unknown,[],Unknown,Mutant,183.14,209.93,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
Agent Zero,8,90,30,40,80,70,95,"['Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Longevity', 'Power Suit', 'Super Strength']",[],['Maverick'],Unrevealed location in former East Germany ,Unknown,Marvel Comics,Good,"Mercenary, former government operative, freedom fighter ",Unknown,"['A.R.M.O.R.', 'Wrecking Crew', 'Team X']",Male,Unknown,191.0,230.0,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
A.I.M. Agent,7,90,5,20,25,25,70,"['Marksmanship', 'Stealth', 'Weapons Master']",[],[''],Unknown,Unknown,Marvel Comics,Bad,Unknown,Unknown,[],Male,Human,183.14,209.93,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
Air-Walker,15,75,85,100,85,100,40,"['Flight', 'Molecular Manipulation', 'Power Cosmic', 'Self-Sustenance', 'Super Speed', 'Super Strength']",[],[''],"Xandar, a planet in the Tranta system, Andromeda galaxy",Fantastic Four #120,Marvel Comics,Bad,"Former starship captain, Herald of Galactus",Unknown,"['Agency X', 'Team X', 'Heralds of Galactus']",Male,Unknown,188.0,240.0,Blue,White,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
Ajax (FOX),7,85,25,45,75,45,65,"['Dexterity', 'Durability', 'Intelligence', 'Invulnerability', 'Reflexes', 'Super Strength', 'Weapons Master']",['Ajax'],"['A British Villain', 'British Shitstick', 'Cockfissle', 'Muppet', 'Wheezing bag of dick tips', 'Fart', 'Dickless', 'Francesca', 'Shit-spackled Kevin', 'Bruce', 'Scott', 'Mitch']",Unknown,Unknown,Marvel Comics,Unknown,Unknown,Unknown,[],Male,Mutant,183.14,209.93,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,True
Ajax,6,80,50,35,80,35,55,"['Agility', 'Heat Generation', 'Power Suit', 'Super Speed', 'Super Strength']",['Ajax (FOX)'],"['""Frankie"", the A-Man, the Attending']",Unknown,"Deadpool #14 (March, 1998)",Marvel Comics,Bad,Unknown,Unknown,[],Male,Cyborg,193.0,200.0,Brown,Black,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
Akita,5,80,10,45,15,70,70,"['Adaptation', 'Agility', 'Animal Attributes', 'Animal Control', 'Animal Oriented Powers', 'Cold Resistance', 'Dexterity', 'Durability', 'Endurance', 'Enhanced Senses', 'Intelligence', 'Longevity', 'Master Martial Artist', 'Peak Human Condition', 'Perfect Recollection', 'Reflexes', 'Shapeshifting', 'Stealth', 'Transformation', 'Weapon-based Powers', 'Weapons Master']",[],['Red'],The Never-realm,70671 Lloyd's Journey (Wolf Form) 70678 Casthe Forsaken Emperor (Human Form) The Never-Realm (voice),Lego,Good,Warrior,Never realm,[],Female,Human,168.0,110.0,White,Black,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,True,True,True,False,True,False,True,False
Alex Danvers (CW),8,95,20,40,55,35,100,"['Agility', 'Intelligence', 'Weapon-based Powers', 'Weapons Master']",[],[''],Gotham City,Supergirl season 1,Unknown,Good,Director of the D.E.O. Bio-engineer at the D.E.O. Doctor at the D.E.O. D.E.O. agent (formerly),D.E.O,[],Female,Human,188.0,198.0,Black,Brown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
